behind the times	시대에 뒤떨어진
bring about	"~을 유발하다, 초래하다"
bring home to	~에게 절실히 느끼게 하다
carry out	"~을 수행하다, 완수하다"
come up with	"~을 찾아내다, 생산하다, 제시하다"
consist of	"~로 구성되다, 이루어지다"
cut a fine figure	두각을 나태나다
devote oneself to	~에 몰두하다
distinguish oneself	"이름을 내다, 공을 세우다"
divide into	~으로 나누다
do away with	"~을 제거하다, 죽이다"
find fault with	~을 비난하다
for the sake of	~을 위하여
in addition to	"~에 대하여, 이외에"
in behalf of	"~을 위하여, ~을 도우려고"
in the presence of	"~의 면전에서, ~의 앞에서"
in virtue of	"~의 덕분에, ~에 의하여"
keep pace with	~과 보조를 맞추다
keep track of	"~을 기록하다, 추적하다"
lag behind	"~보다 뒤쳐지다, ~보다 뒤떨어지다"
make allowances for	"~을 참작하다, 감안하다"
make good	"성공하다, 보상하다, 수리하다"
prior to	"~에 앞서, 먼저"
set forth	"~을 설명하다, 출발하다"
stand for 	"~을 나타내다, 상징하다, 대표하다"
take into account	"~을 고려하다, 참작하다"
take it for granted	"~을 당연한 일로 생각하다, 당연히 ~일 거라고 믿다"
take up	~을 흡수하다
turn into	"~로 변하다, 바뀌다"
up to	"~에 이르기까지, ~까지"
wear out	"~을 다 써버리다, 닳아 얿어지게 하다"
colony	"집단, 군체, 콜로니, 서식지"
zoology	동물학
fauna and flora	"동식물군, 동식물종"
mammal	포유동물
carnivorous	육싱성의
predator	포식자
primate	영장류
invertbrate	무척추동물
hibernation	동면
offspring	"자식, 생겨난것"
domesticate	"길들이다, 교화하다"
camouflage	"위장, 눈가림, 위장하다"
nest	"보금자리, 둥지, 굴"
dominant	"지배적인, 두드러진"
trail	"끌다, 추적하다, 지나간 자국, 흔적"
dwell	"살다, 거주하다"
fertilise	"수정하다, 비옥하게 하다"
pollen	"화분, 꽃가루"
bud	"눈, 미숙한 것, 싹트다, 자라기 시작하다"
trunk	코끼리 ㅋ
shrub	관목
blosoom	"꽃, 개화하다"
reproduce	"복제하다, 번식하다"
swarm	"무리를 이루다, 떼를 짓다, 무리"
kindgom	"(생물)계, 영토, 왕국"
evolutionary theory	진화론
variety	"종류, 다양성, 여러가지"
homogenise	"균질이 되게 하다, 통일하다"
liberal arts	인문학
humanism	인도주의
linguistics	언어학
wit	"지혜, 가치, 재치"
intonation	"억양, 어조"
emphatic	"어조가 강한, 단호한, 강조하는"
prefix	접두사
decipher	"해석하다, 판독하다"
phonetic	"발음대로의, 음성의"
phonics	"발음 중심의 언어학 지도법, 음향학"
syllable	음절
coinage	화폐제도
abridge	"요약하다, 줄이다, 약화시키다"
satire	"풍자, 비꼼"
criticism	"비평, 비판"
fable	"우화, 꾸며낸 이야기"
renaissance	문예부흥
regard	"~으로 여기다, 보다, 존경, 관계, 고려, 주시"
starve	"굶주리다, 갈망하다"
sense	"감각, 의식, 분별 의미"
contemporary	"같은 시대의, 현대의, 동시에 발생한"
colloquial	"구어체의, 일상 회화의"
discipline	"학과, 훈련, 징계"
compulsory	"강제적인, 필수의"
elective	"임의의 선택의, 선거에 의한"
obligatory	"의무적인, 필수의"
extracurricular	"과외의, 정규과목 이외의"
underscore	강조하다
enroll	"입학시키다, 등록하다"
examination	시험
scholarship	"장학금, 학문"
dissertation	학위논문
diploma	"졸업장, (대학)과정"
graduate	"졸업, 대학원 학생, 졸업하다, 학위를 수여하다"
forbid	"금하다, 허락하지 않다"
confer	"협의하다, 수여하다"
inform	"알리다, 통지하다"
rely	"의지하다, 신뢰하다"
audiovisual	시청각의
literacy	읽고 쓸 줄 아는 능력
further education	성인교육
distance learning	"통신교육, 방송교육, 원격교육"
deam	"학장, 학생과장, 주임 사제"
acidic	"산의, 신맛이 나는, 신랄한"
derivative	"유도체, 파생어, 새롭지 않은"
acting	"직무 대행의, 연출용의, 작용하는"
adhesive	"접착제, 점착성이 있는 것, 점착성의, 끈끈한"
synthetic	합성의
isotope	동위원소
alchemy	연금술
vacuum	진공
dense	"밀집한, 빽빽한"
evaporate	증발하다
equilibrium	"평형, 균형"
soak	"적시다, 빨아들이다"
ignite	"불을 붙이다, 발화시키다"
shift	"방향을 바꾸다, 물건을 이동시키다, 변화, 교체, 수단"
erode	"침식하다, 부식시키다"
adhere	"들러붙다, 고수하다"
sphere	"구체, 천체, 하늘, 영역"
abandon	"그만두다, 버리다, 포기하다"
address	"말을 걸다, 연설하다, 주소를 쓰다, 연설, 주소"
admire	"감탄하다, 경애하다, 칭찬하다"
sail	"출항하다, 조종하다"
exile	"추방하다, 유배에 처하다"
marriage	"결혼, 혼인"
pheonomenon	"현상, 사건"
conventional	"전통적인, 관습적인"
clan	"씨족, 일문"
extended family	대가족
socialism	사회주의
expenditure	"지출, 경비, 소모"
fluctuate	"변동하다, 오르내리다"
fiscal	"국고의, 재정상의, 회계의"
merchandise	"상품, 거래하다"
commerce	"상업, 교역"
bankruptcy	"파산, 실패"
commission	"위원회, 임무, 수수료"
depression	"의기소침, 불경기, 우울증"
transaction	"처리 ,거래, 매매"
